features_removed,accuracy,f1_macro
"unique_in_ratio,time_interval_ratio",0.8221343873517787,0.8170111009515102
"unique_in_ratio,weighted_avg_tx",0.8237812911725956,0.818476553528831
"unique_in_ratio,wallet_lifetime_sec",0.813570487483531,0.8081131397881354
"unique_out_ratio,volume_ratio",0.8231225296442688,0.817840142471397
"unique_out_ratio,net_balance_ratio",0.825098814229249,0.8203224133555485
"unique_out_ratio,activity_index",0.8231225296442688,0.8179655935709162
"unique_out_ratio,time_interval_ratio",0.8244400527009222,0.8195254561666776
"unique_out_ratio,weighted_avg_tx",0.8264163372859025,0.8217151812291326
"unique_out_ratio,wallet_lifetime_sec",0.8099472990777339,0.8045832312151542
"volume_ratio,net_balance_ratio",0.8231225296442688,0.817840142471397
"volume_ratio,activity_index",0.8274044795783926,0.8226714582534488
"volume_ratio,time_interval_ratio",0.8290513833992095,0.8241472584405318
"volume_ratio,weighted_avg_tx",0.8264163372859025,0.8215968587117173
"volume_ratio,wallet_lifetime_sec",0.8181818181818182,0.8129021626857333
"net_balance_ratio,activity_index",0.8293807641633728,0.8244662042460782
"net_balance_ratio,time_interval_ratio",0.8287220026350461,0.8239861072646537
"net_balance_ratio,weighted_avg_tx",0.825098814229249,0.8197918477328326
"net_balance_ratio,wallet_lifetime_sec",0.8152173913043478,0.810002067091337
"activity_index,time_interval_ratio",0.8270750988142292,0.8223917839569158
"activity_index,weighted_avg_tx",0.8280632411067194,0.8232698017328746
"activity_index,wallet_lifetime_sec",0.8119235836627141,0.8063958663976958
"time_interval_ratio,weighted_avg_tx",0.8280632411067194,0.8231507622811971
"time_interval_ratio,wallet_lifetime_sec",0.8086297760210803,0.8032285222461084
"weighted_avg_tx,wallet_lifetime_sec",0.8155467720685112,0.8103194366348033
